TraitID	Trait	ObsNum	ObsGRNum	AccSpecNum
42	Plant growth form	2371038	625152	233812
3400	Plant growth form simple consolidated	213372		206937
3401	Plant growth form detailed consolidated	165540		162120
38	Plant woodiness	239889	90316	77763
43	Leaf type	157041	72023	61206
17	Leaf compoundness	120022	33990	56667
28	Dispersal syndrome	477217	18582	52887
26	Seed dry mass	317501	27134	43227
22	Photosynthesis pathway	146169	65293	37649
3106	Plant height vegetative	368479	268607	35466
759	Leaflet number per leaf	52973	20137	29865
37	Leaf phenology type	240394	128205	29770
31	Species tolerance to frost	34223	161	27829
59	Plant lifespan (longevity)	72046	19102	25721
218	Species occurrence range: native vs invasive	56576	5449	24962
8	Plant nitrogen(N) fixation capacity	77681	20970	18073
819	Plant resprouting capacity	19963	3649	16605
3117	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu"	249181	206176	16599
343	Plant life form (Raunkiaer life form)	117350	63988	16558
29	Pollination syndrome	33745	1457	15879
95	Seed germination rate (germination efficiency)	71098	422	15724
154	Leaf shape	67471	26949	15527
99	Fruit type	27192	290	14462
14	Leaf nitrogen (N) content per leaf dry mass	165142	142471	13621
213	Flower sex	15784	544	13328
16	Leaf distribution along the shoot axis (arrangement type)	31627	2876	12981
4	"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density"	96095	44571	12812
3096	Species habitat characterization: vegetation type	85202		12809
144	Leaf length	66551	44685	11500
3113	"Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)"	48331	47915	11097
145	Leaf width	96570	72599	10859
335	Plant reproductive phenology timing (flowering time)	100818	51074	10856
207	Flower color	20434	202	10587
963	Leaf margin type	24252	10498	10101
50	Leaf nitrogen (N) content per leaf area	89709	79443	10067
98	Seed storage behaviour	12492		10008
47	"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)"	293469	277713	9688
273	Wood growth ring distinction	29317	10349	9435
278	Wood vessel perforation plates	15033	4676	9341
3114	"Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e"	96078	65197	8770
55	Leaf dry mass (single leaf)	177383	151623	8696
15	Leaf phosphorus (P) content per leaf dry mass	73072	57689	8671
2	"Leaf texture (sclerophylly, physical strength, toughness)"	53269	45968	8559
21	Stem diameter	215415	199436	8426
3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	105140	93329	8245
169	Stem conduit density (vessels and tracheids)	21077	2190	8211
3115	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded"	82364	70925	8120
7	Mycorrhiza type	118390	57195	8028
223	Species genotype: chromosome number	85214	74071	7916
825	Species occurrence range: climate type	51784	42431	7823
46	Leaf thickness	126654	116389	7773
201	Plant nutrition mode (heterotrophy)	14094	1297	7728
13	Leaf carbon (C) content per leaf dry mass	77666	70380	7509
3112	"Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)"	22803	21349	7467
222	Species genotype: chromosome ploidy	81767	72390	7318
281	"Stem conduit diameter (vessels, tracheids)"	23257	4194	7189
231	Dispersal unit type	196259	1429	7100
197	Plant functional type (PFT)	121025	78746	6921
224	Species genotype: chromosome cDNA content	85668	83646	6907
318	Species tolerance to fire	25195	3615	6851
3	"Leaf angle (inclination, orientation)"	82400	81276	5900
2934	Inflorescence type	8599		5898
146	Leaf carbon/nitrogen (C/N) ratio	47595	44708	5843
2938	Flower stamen number	6794	376	5817
289	Wood fiber lengths	16363		5777
282	Wood vessel element length; stem conduit (vessel and tracheids) element length	15243		5757
570	Leaf carbon (C) content per leaf area	49240	45757	5725
2935	Flower symmetry type (flower shape)	6583	369	5688
604	Plant human usage types	46482		5659
65	"Root type, root architecture"	11817	774	5626
2813	Leaf venation type	6775	600	5577
89	Leaf carbon isotope signature (delta 13C)	19973	18973	5558
51	Leaf phosphorus (P) content per leaf area	37433	33103	5549
286	Wood fibre types	10661	1354	5519
2937	Flower petal number	7017		5414
2940	Fruit dehiscence type	5760		5398
587	Plant growth rate	9812	6795	5256
279	Wood vessel pits characteristics (vestured pits)	34903	124	5160
291	Wood ray width	8509		5099
290	Wood parenchyma characteristics	31935		5097
287	Wood septate fibres and parenchyma-like fibre bands	7537		5092
292	Wood cellular composition of rays	10657		5076
2936	Flower corolla type	5618		5043
297	Wood rays per millimetre (wood ray density)	7512		5038
3109	"Leaf area (in case of compound leaves: leaflet, petiole excluded)"	64042	58920	5029
288	Stem wood fiber wall thickness	8262	61	4918
48	"Leaf density (leaf tissue density, leaf dry mass per leaf volume)"	52627	46245	4883
2939	Fruit pericarp type	5144		4796
1134	Species environmental indicator value according to Ellenberg: pH 	10351		4540
1131	Species environmental indicator value according to Ellenberg: light	9359		4522
1132	Species environmental indicator value according to Ellenberg: moisture	9646		4466
1133	Species environmental indicator value according to Ellenberg: nitrogen	10651		4453
143	Leaf petiole length	33690	22194	4318
155	Plant ontogeny: age of maturity (first flowering)	12320	199	4312
56	Leaf nitrogen/phosphorus (N/P) ratio	19980	13110	4298
53	Photosynthesis rate per leaf area	68661	59982	4239
344	Plant vegetative regeneration capacity	7440	355	4203
1136	Species environmental indicator value according to Ellenberg: temperature	7065		4162
585	Fruit/seed color	6123		4072
6	Root rooting depth	11616	8019	4032
603	Species tolerance to shade	13050	272	3990
3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	60604	57052	3990
586	Fruit/seed conspicuous	3984		3940
1238	Wood vessel diameter	5092	3663	3904
140	Shoot branching type; shoot branching architecture	13699	331	3877
27	Seed length	27848	749	3861
244	Species occurrence range: endemism	4949	303	3847
1135	Species environmental indicator value according to Ellenberg: salt tolerance	8458		3834
827	Species occurrence range: origin zonal	7469	1231	3824
2941	Fruit surface type	4481		3806
1255	"Shoot emergences (pubescence, hairs, spines, thorns)"	7867	6356	3738
3107	Plant height generative	41669	20363	3734
1234	Wood ray types	11238	9077	3720
1237	Wood vessel density	4095	3273	3687
1211	Wood axial parenchyma types	5466	4411	3674
1239	Wood vessel distribution	6204	4951	3674
159	Seedbank type	90540	782	3660
817	Plant morphological adaptations: shoot metamorphoses	7735	160	3656
347	Plant mating system	6124		3645
208	Species reproduction type	4124	16	3618
3120	Leaf water content per leaf dry mass (not saturated)	114633	114633	3608
816	Plant morphological adaptations: storage organs	9993	959	3607
304	Wood crystal types	12722	550	3572
78	Leaf nitrogen (N) isotope signature (delta 15N)	23956	23446	3561
596	Seed germination requirement	6388	273	3476
205	Flower pollinator and type of reward	9880		3462
199	Species tolerance to human impact	12765		3451
163	Leaf fresh mass	83586	82517	3442
44	Leaf potassium (K) content per leaf dry mass	15891	10191	3440
677	"Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)"	33485	28055	3412
918	Fruit length	27215	4182	3322
30	Species tolerance to drought	5253	297	3305
1130	Species environmental indicator value according to Ellenberg: continentality	3513		3301
3108	"Leaf area (in case of compound leaves: leaf, petiole excluded)"	48556	45162	3284
96	Seed oil content per seed mass	15230		3281
196	Species strategy type according to Grime	4975	915	3265
170	Stem conduit cross-sectional area (vessels and tracheids)	3782	780	3234
1240	Wood vessel intervessel pits	4099	3296	3227
582	Leaf color	25263	5518	3226
40	Photosynthesis rate per leaf dry mass	22671	16442	3176
18	Plant height	4789	480	3157
823	Species occurrence range: continentality	13763		3133
221	Species genotype: chromosome base number	4789		3126
609	Plant propagation type	21274		3115
